#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3308.3063	44.6747	41.6562	3266.6501	3352.9810
logg	4.7777	0.0515	0.0447	4.7330	4.8292
[Fe/H]	0.1429	0.1650	0.2174	-0.0746	0.3079
dist	165.1597	1.4881	1.0975	164.0623	166.6478
rad	0.4325	0.0122	0.0130	0.4195	0.4447
Av	0.0061	0.0031	0.0035	0.0026	0.0092
grav_mass	0.4092	0.0547	0.0474	0.3619	0.4640
lum	0.0202	0.0015	0.0016	0.0186	0.0218
AD	0.0243	0.0008	0.0007	0.0236	0.0250
age	2.0107	11.0746	1.1209	0.1276	13.488880770473541
iso_mas	0.4229	0.0107	0.0164	0.3687	0.453153278370218
eep	311.9328	6.2227	44.0033	185.2567	318.15544421529455
BP_noise	0.0358	0.0294	0.0213	0.0145	0.0652
G_noise	0.0174	0.0151	0.0104	0.0071	0.0325
RP_noise	0.0483	0.0198	0.0139	0.0344	0.0681
J_noise	0.0887	0.1175	0.0644	0.0243	0.2063
H_noise	0.1018	0.1145	0.0572	0.0445	0.2163
Ks_noise	0.0755	0.1054	0.0513	0.0242	0.1809
W1_noise	0.1124	0.1653	0.0751	0.0372	0.2776
W2_noise	0.1734	0.1499	0.1058	0.0676	0.3233
