#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3294.3428	46.7416	64.8352	3229.5076	3341.0845
logg	5.6551	0.3377	1.9469	3.7083	5.9929
[Fe/H]	-0.1159	0.3347	0.2668	-0.3827	0.2189
dist	168.8538	6.0417	6.8782	161.9756	174.8955
rad	0.4476	0.0242	0.0311	0.4166	0.4719
Av	0.0094	0.0033	0.0072	0.0021	0.0127
grav_mass	0.2249	2.9033	0.2104	0.0145	3.1282
lum	0.0207	0.0032	0.0029	0.0178	0.0239
AD	0.0245	0.0019	0.0018	0.0227	0.0264
age	8.2165	5.1378	7.4363	0.7801	13.3543
iso_mass	0.4195	0.0201	0.0191	0.4005	0.4396
eep	310.6739	9.0295	38.6979	271.9760	319.7034
BP_noise	0.0378	0.0720	0.0333	0.0044	0.1098
G_noise	0.0256	0.0238	0.0248	0.0008	0.0494
RP_noise	0.0382	0.0291	0.0207	0.0175	0.0673
J_noise	0.0439	0.3290	0.0585	-0.0146	0.3728
H_noise	0.1375	0.2050	0.1499	-0.0124	0.3424
Ks_noise	0.0624	0.2081	0.0754	-0.0131	0.2705
W1_noise	0.0517	0.2609	0.0884	-0.0367	0.3126
W2_noise	0.2369	0.2784	0.2415	-0.0046	0.5153
