# Filter Magnitude Uncertainty
GaiaDR2v2_BP 17.4410 0.0058
GaiaDR2v2_G 16.0232 0.0028
GaiaDR2v2_RP 14.8500 0.0040
2MASS_J 13.2470 0.0280
2MASS_H 12.6590 0.0230
2MASS_Ks 12.3620 0.0230
WISE_RSR_W1 12.2270 0.0340
WISE_RSR_W2 12.1120 0.0340
