#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3577.4621	124.4454	99.8457	3477.6163	3701.9075
logg	3.6357	0.6786	0.1939	3.4418	4.3142
[Fe/H]	0.2979	0.2071	0.1242	0.1736	0.5049
dist	163.8206	2.8961	0.7240	163.0965	166.7167
rad	0.3558	0.0347	0.0211	0.3346	0.3905
Av	0.0084	0.0043	0.0068	0.0016	0.0128
grav_mass	0.0264	0.0155	0.0155	0.0109	0.0419
lum	0.0186	0.0049	0.0027	0.0158	0.0235
AD	0.0200	0.0020	0.0011	0.0189	0.0220
age	7.4150	5.8503	6.3415	1.0735	13.2652
iso_mass	0.4168	0.0132	0.0130	0.4038	0.4300
eep	311.3433	7.4605	36.4737	274.8696	318.8039
BP_noise	0.0670	0.0573	0.0278	0.0392	0.1243
G_noise	0.0204	0.0273	0.0173	0.0031	0.0477
RP_noise	0.0432	0.0325	0.0177	0.0256	0.0757
J_noise	0.0915	0.2248	0.0942	-0.0026	0.3164
H_noise	0.1432	0.2154	0.0987	0.0444	0.3586
Ks_noise	0.0319	0.1133	0.0405	-0.0086	0.1452
W1_noise	0.1252	0.3090	0.1287	-0.0035	0.4342
W2_noise	0.1104	0.1514	0.0983	0.0122	0.2618
