65752	-8.74524	0.0401	65752	TOI5671	-1.7463	-0.08695	2460041.8311878	-1746.3	1.601
65754	-8.66896	0.0337	65754	TOI5671	-1.784082	-0.08595	2460041.8524654	-1784.0819999999999	1.424
65772	-8.40437	0.05818	65772	TOI5671	-2.315923	-0.08287	2460042.0822242	-2315.9230000000002	1.224
65774	-8.30262	0.0565	65774	TOI5671	-2.357167	-0.08081	2460042.103507	-2357.167	1.323
65776	-8.15269	0.04252	65776	TOI5671	-2.393957	-0.08331	2460042.1247778	-2393.957	1.461
65922	-8.30732	0.12622	65922	TOI5671	-2.287135	-0.07306	2460042.9235882	-2287.135	1.116
66834	0.95629	0.01925	66834	TOI5671	-11.911655	-0.04487	2460073.7989245	-11911.654999999999	1.239
66892	1.58278	0.0274	66892	TOI5671	-12.222248	-0.02872	2460074.8159897	-12222.248	1.168
66894	1.58717	0.02283	66894	TOI5671	-12.270654	-0.02831	2460074.8372637	-12270.654	1.114
67034	1.79182	0.03482	67034	TOI5671	-12.496673	-0.01526	2460075.8176575	-12496.672999999999	1.155
67036	1.65408	0.02493	67036	TOI5671	-12.545456	-0.01446	2460075.8389318	-12545.456	1.105
67038	1.68405	0.02554	67038	TOI5671	-12.595924	-0.01448	2460075.8602073	-12595.924	1.074
68786	6.66417	0.02663	68786	TOI5671	-17.864877	-0.08897	2460156.7532964	-17864.877	1.172
68788	6.77339	0.02939	68788	TOI5671	-17.898241	-0.08698	2460156.7745594	-17898.240999999998	1.25
69334	6.09778	0.02673	69334	TOI5671	-17.403053	-0.04129	2460159.7578276	-17403.053	1.216
69336	6.11464	0.03507	69336	TOI5671	-17.433812	-0.04044	2460159.7790953	-17433.811999999998	1.312
69520	-6.31527	0.33321	69520	TOI5671	-17.236403	-0.02517	2460160.7571634	-17236.403	1.224
69570	5.96287	0.03873	69570	TOI5671	-17.064123	-0.01047	2460161.7559249	-17064.123	1.23
69572	6.02801	0.02606	69572	TOI5671	-17.093977	-0.00988	2460161.7771818	-17093.977	1.331
69620	5.62837	0.02619	69620	TOI5671	-16.883923	0.00763	2460162.7526413	-16883.923	1.227
69622	5.73735	0.02579	69622	TOI5671	-16.913834	0.0094	2460162.7739382	-16913.834000000003	1.328
