1724.18063	-6.084008977 0.5451807014	1.916791253 0.3763806097	1.459742851 0.2032873513	-1.823861641 0.3873283942	1.036084139 0.008158911167	-0.0469868899 0.01935890575	0.07728445365 0.03032897607	72.72534097	67 85 2
1725.983889	-4.961119939 0.3813992807	1 0.144538367	1.50058072 0.1676365609	0.4582969258 0.7151227317	1.026098428 0.009812270357	-0.00640280757 0.01074144737	-0.009325801377 0.03506668032	76.37666915	90 85 3
1727.446721	-4.646166971 0.3959035264	1.241444879 0.314547828	2.091190626 0.7767215468	0.4366194843 0.8125235363	1.016757232 0.006967476928	-0.03098638166 0.009186348754	0.02230142758 0.02353405046	109.1224295	99 85 4
1728.970482	-4.794072704 0.4993282486	1 0.106026137	1.981796985 0.219095218	-0.3946382175 0.3467959938	1.033663756 0.006967062238	-0.01289618793 0.01013974069	-0.005650389546 0.02928241347	95.1791458	88 85 5
1730.285012	-4.559610631 0.4780391799	1.897861998 0.3342213329	4.984552157 2	0.2211373996 0.7425630746	1.008377537 0.005978988409	0.005228385098 0.008979149075	0.01208581249 0.02244882255	88.95722166	90 85 6
1731.655254	-4.856816941 0.287170216	1.046924686 0.2246613507	2.594895007 0.5343330261	-0.2902027328 0.4253167521	1.047374966 0.005719211299	0.06836978495 0.01665124811	0.07115686399 0.02753647501	132.8536667	83 85 7
1732.97347	-4.260429118 0.3343398182	1 0.5	1.709052042 0.4438986238	-0.01877532628 0.8870222202	1.015560728 0.005891122545	-0.0413871307 0.01573503402	0.008319926698 0.04034719619	108.8148117	78 85 8
1734.284912	-4.835423433 0.3080852059	1 0.1961807318	1.256967526 0.5643143722	-0.1043450917 0.9539873489	1.01607295 0.005294448904	0.03857306146 0.009829388855	-0.01823960157 0.03014715313	127.8942575	99 85 9
1735.495379	-4.702313929 0.3357278928	2 0.05483115511	1.463095497 0.1031545721	1.302963881 0.4484146106	1.048595632 0.007121228786	-0.003021106945 0.0164466558	-0.02099046227 0.04608448879	93.66693978	68 85 10
1736.641806	-5.05684049 0.2921972388	1 0.4338744598	1.663975072 0.2419232051	0.6393673022 0.2615796904	1.021859716 0.009922443735	-0.03542539303 0.01567865651	0.09479965311 0.06809560685	87.51310731	85 85 11
1737.735331	-5.621834647 0.4804193485	1 0.2624011743	1.391078295 0.6753446457	0.5748676113 1.079236984	1.026855206 0.006227716783	-0.02325570284 0.01491721613	-0.1099300502 0.04517574147	113.5767651	94 85 12
1738.926726	-5.048775506 0.4553298299	1 0.5	1.605224167 0.9278024993	-0.3228455473 0.9063437885	1.010907998 0.008545352305	0.02399401356 0.02464491644	0.001621198 0.06967544967	68.73592987	71 85 13
1739.762858	-4.944883309 0.3426796185	1 0.1349511567	1.86210602 0.2676919452	0.02842932487 0.3447897924	1.003893846 0.007054170783	-0.002813030522 0.0107769742	0.0932944938 0.05035794629	96.55377995	94 85 14
1740.747446	-4.884749618 0.2656857219	1 0.4840884442	2.810520435 1.125856674	1.33936608 0.4305394999	1.03147144 0.005979817863	0.03292102709 0.01638013314	0.1736755668 0.09925617673	74.03357505	99 85 15
1741.672589	-4.012660387 0.324876404	1.100809554 0.3131641498	1.754297525 0.2593543279	0.08019551087 0.3473356114	1.042002136 0.01018514265	0.04545808593 0.02647834817	0.2557556995 0.1208314829	63.7844278	78 85 16
1742.396964	-4.170389413 0.455581096	1.801322068 0.5	4.882752903 2	0.08929726585 1.025710807	1.053933576 0.0106823164	-0.005507406574 0.03132881381	-0.2951138022 0.1227952906	82.81069542	84 85 17
1743.24139	-8.283658644 0.5786197696	2 0	1.001219363 0.01677000398	4.728005321 0.1626646822	0.3084053769 0.001419509113	-1.697771081 0.009343723903	2.271380508 0.01946220721	6519.571771	90 85 18
1704.283868	-6.375402203 0.6771910611	1 0.3662293814	1.798550097 0.7094099897	0.08533450599 0.9466683902	1.021448524 0.007189035909	-0.009109631137 0.01093042227	0.008016720069 0.02745989892	88.08953687	101 86 2
1705.851609	-3.706303004 0.5008684549	1.23503963 0.335860819	1.386395401 0.2380881806	-0.2890376628 0.895605622	1.018293937 0.007759589138	0.005706980087 0.009890621345	-0.001752279094 0.02513604743	57.30805066	91 86 3
1707.287694	-4.409308979 0.3679445149	1.533821425 0.4684773962	1.32880407 0.1183388501	-0.04218467142 0.6562604781	1.033736655 0.007108144813	0.008689536795 0.009349524239	0.01543205231 0.02312322249	96.46505486	84 86 4
1708.811593	-4.940137059 0.5264468178	1.062820749 0.170426686	1.502877147 0.07932017578	-0.1530250296 0.2441913252	1.008371212 0.00510959795	0.01328216434 0.007189369872	-0.002527421128 0.01931141865	72.71890491	93 86 5
1710.191195	-5.044675994 0.2216673361	1.743907039 0.3227374291	1.218599304 0.1144618324	0.4442014552 0.5384140528	1.023187759 0.005508665703	-0.01994242149 0.007874751616	-0.05965166158 0.02359744664	140.7123593	93 86 6
1711.558706	-5.629591243 0.3556670161	1.400500575 0.5	3.562400985 1.163396282	-0.6915686149 0.9066150997	1.032223711 0.005410174256	-0.03506081653 0.009673654188	0.08369257518 0.03268262719	97.66028168	87 86 7
1712.956317	-5.43359601 0.5214090736	1.746756169 0.5	1.316408944 0.5739181224	-0.7614289494 0.812457403	0.9926383718 0.004990635268	0.01201302431 0.0107002	-0.1037470439 0.03451469555	89.45231247	83 86 8
1714.090148	-4.737646622 0.3690826712	1.7540522 0.4012153082	1.185325474 0.0752169051	-0.652325574 0.5413052555	1.045124947 0.006055998535	0.004112359464 0.00950259638	-0.03140454118 0.02797483492	70.75173034	90 86 9
1715.31115	-4.323882392 0.4851652715	1.228042189 0.2691211893	1.409999648 1.59918272	-0.05596328687 0.6638073777	1.007922265 0.004716221863	-0.01199221887 0.00928292042	-0.006470749603 0.03049142264	71.79671036	100 86 10
1716.466742	-5.036672625 0.4459458766	1.251255542 0.3845153514	1.816420145 0.4759318383	-1.137621083 0.4119859629	1.01086516 0.005093243228	-0.02612536494 0.01300007669	-0.02036163422 0.03499767159	78.91779001	89 86 11
1717.548235	-4.284007657 0.2178005437	1 0.06702779874	1 0.2077121284	-0.3878191493 0.9072772144	1.007762588 0.004976681251	0.01817851719 0.01086384098	-0.06733561544 0.03948445765	370.0200014	97 86 12
1718.577106	-4.160514016 0.2704477583	2 0.5	1 1.675426473	0.3676673436 0.8835882676	1.013329489 0.005593079576	0.01116221942 0.01270115179	-0.02099955997 0.04736542624	139.6151459	91 86 13
1719.570965	-4.853122769 0.3260209523	1 0.5	1 0.7492226778	0.2828658207 1.092649239	1.009410272 0.006616008234	-0.04166133152 0.01503445534	0.04886280012 0.06951527415	97.46574076	95 86 14
1720.484909	-4.002105224 0.6383714624	1.127184523 0.5	1.579382629 1.17492314	-0.5977019115 0.8203736514	1.012842201 0.006738105036	0.03575752214 0.01731548184	-0.04563682021 0.07731864304	64.67028993	95 86 15
