BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.754680,1.01606,0.01402,1.0516,0.69,-2.60,8.19,2790
2459761.756014,1.01010,0.01190,1.0520,-2.42,-1.01,7.23,3003
2459761.757337,1.01125,0.01109,1.0524,1.57,-0.54,8.02,2642
2459761.758681,0.99848,0.01061,1.0530,2.00,-1.85,8.56,2114
2459761.760013,0.99613,0.01056,1.0535,0.60,-1.03,8.15,1966
2459761.761346,1.01545,0.00948,1.0541,0.52,-1.80,7.59,2246
2459761.762668,1.01396,0.00960,1.0548,0.08,-2.45,8.35,1978
2459761.764024,1.00522,0.00967,1.0556,1.70,-0.15,8.57,1876
2459761.765345,1.01262,0.00966,1.0564,0.41,-0.62,8.45,2010
2459761.766678,1.01760,0.00938,1.0572,0.99,-1.00,8.07,2085
2459761.768011,1.02505,0.00954,1.0581,0.45,-1.69,8.65,1794
2459761.769332,1.02910,0.00965,1.0591,0.42,-0.58,8.99,1749
2459761.770666,1.02177,0.00917,1.0601,1.32,0.60,8.37,2158
2459761.772001,1.00000,0.00915,1.0612,1.19,-0.66,7.65,2252
2459761.773323,1.00829,0.00980,1.0624,0.90,-1.76,7.97,2124
2459761.774657,1.01161,0.01081,1.0636,0.26,-1.95,8.59,1759
2459761.775991,0.99887,0.01262,1.0649,-0.15,-1.56,9.55,1198
2459761.777313,1.01782,0.01149,1.0662,2.28,-0.12,9.30,1453
2459761.778648,1.01620,0.01126,1.0676,0.99,-0.83,8.79,1524
2459761.779970,1.00941,0.01084,1.0690,0.56,-1.45,8.55,1530
2459761.781304,1.00804,0.00886,1.0705,1.33,0.40,9.05,2263
2459761.782627,1.01513,0.00863,1.0721,1.49,-1.41,7.88,2452
2459761.783961,1.00662,0.00855,1.0738,0.58,-1.58,7.84,2302
2459761.785295,1.01034,0.00851,1.0755,0.79,-0.58,7.60,2435
2459761.786618,1.01046,0.00794,1.0772,1.70,0.14,7.23,3082
2459761.787951,1.01846,0.00814,1.0791,0.71,-1.58,8.26,2489
2459761.789271,1.02120,0.00824,1.0809,0.12,-0.61,9.51,2295
2459761.790604,1.00664,0.00788,1.0829,1.38,-0.03,7.68,2626
2459761.791937,1.00034,0.00789,1.0849,-0.44,-1.54,7.85,2606
2459761.793270,1.00560,0.00820,1.0870,0.81,0.19,9.26,2254
2459761.794591,1.02071,0.00817,1.0891,1.88,0.07,7.81,2428
2459761.795924,1.01919,0.00826,1.0914,-0.31,-1.12,8.43,2305
2459761.797257,1.00707,0.00804,1.0936,1.76,0.25,7.94,2475
2459761.798579,1.01691,0.00810,1.0960,0.55,-0.59,7.64,2806
2459761.799913,0.99779,0.00826,1.0984,-0.34,-0.70,7.60,2878
2459761.801236,0.99082,0.00866,1.1009,1.40,0.68,8.79,2343
2459761.802570,0.99245,0.00848,1.1035,0.61,-0.36,7.25,2446
2459761.803893,1.00056,0.00858,1.1061,-0.08,0.65,8.34,2282
2459761.805272,0.98328,0.00908,1.1089,0.54,0.90,8.03,2256
2459761.806595,0.97489,0.00938,1.1117,-1.16,-0.61,9.00,1773
2459761.807928,0.96312,0.00916,1.1145,1.70,1.07,10.42,1645
2459761.809261,0.93960,0.00887,1.1174,-0.62,-0.74,8.69,1887
2459761.810582,0.93645,0.00873,1.1204,-0.88,0.56,8.84,2164
2459761.811915,0.92908,0.00837,1.1235,-0.04,0.23,8.64,2598
2459761.813248,0.93815,0.00900,1.1266,-1.56,-0.28,8.15,2108
