#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5482.3091	22.6570	24.8148	5457.4943	5504.9661
logg	4.2793	0.0416	0.0377	4.2416	4.3209
[Fe/H]	-0.1270	0.0948	0.0195	-0.1465	-0.0322
dist	167.2138	0.8851	0.3578	166.8559	168.0989
rad	0.0923	0.0083	0.0019	0.0905	0.1006
Av	0.0113	0.0006	0.0030	0.0083	0.0119
grav_mass	0.0060	0.0013	0.0005	0.0054	0.0073
lum	0.0069	0.0013	0.0003	0.0066	0.0082
AD	0.0051	0.0005	0.0001	0.0050	0.0056
age	0.5788	5.8875	0.5440	0.0348	9.569979329765145
iso_mas	0.8620	0.0499	0.0345	0.7930	1.9397141950951495
eep	342.2794	19.7169	67.0373	193.4171	488.1841058017572
BP_noise	0.2866	0.0537	0.0452	0.2415	0.3403
G_noise	0.0421	0.0370	0.0084	0.0336	0.0791
RP_noise	0.1486	0.0292	0.0403	0.1083	0.1778
J_noise	0.3273	0.1447	0.0495	0.2778	0.4720
H_noise	0.5063	0.1065	0.1844	0.3219	0.6128
Ks_noise	0.4029	0.0381	0.0982	0.3047	0.4409
W1_noise	0.3664	0.0971	0.0511	0.3153	0.4635
W2_noise	0.6488	0.1025	0.1785	0.4703	0.7512
