#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5478.5473	28.3639	26.1821	5452.3653	5506.9112
logg	4.2827	0.0544	0.0476	4.2350	4.3371
[Fe/H]	-0.1291	0.1102	0.0270	-0.1561	-0.0189
dist	167.3453	1.2187	0.6093	166.7360	168.5640
rad	0.0934	0.0094	0.0025	0.0909	0.1028
Av	0.0119	0.0014	0.0029	0.0090	0.0133
grav_mass	0.0062	0.0016	0.0010	0.0052	0.0078
lum	0.0071	0.0016	0.0005	0.0066	0.0087
AD	0.0052	0.0005	0.0002	0.0050	0.0057
age	0.5788	5.8875	0.5440	0.0348	6.4663
iso_mass	0.8620	0.0499	0.0345	0.8275	0.9119
eep	342.2794	19.7169	67.0373	275.2420	361.9962
BP_noise	0.2911	0.0644	0.0595	0.2317	0.3555
G_noise	0.0373	0.0477	0.0121	0.0252	0.0850
RP_noise	0.1482	0.0353	0.0461	0.1021	0.1835
J_noise	0.3164	0.1632	0.0802	0.2362	0.4796
H_noise	0.5143	0.1343	0.2160	0.2983	0.6485
Ks_noise	0.3979	0.0440	0.1036	0.2943	0.4419
W1_noise	0.3473	0.1328	0.0703	0.2770	0.4801
W2_noise	0.6695	0.1456	0.2243	0.4452	0.8151
