BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.813087,0.93006,0.00437,1.1262,-0.03,1.31,12.16,6262
2459761.813704,0.92699,0.00422,1.1277,-2.52,-1.14,6.80,6834
2459761.814315,0.92573,0.00436,1.1292,3.05,2.31,12.82,5603
2459761.814932,0.91977,0.00441,1.1307,-0.27,0.52,11.56,5940
2459761.815549,0.92366,0.00413,1.1323,-0.56,-1.48,10.69,7674
2459761.816166,0.91473,0.00423,1.1338,-1.91,-2.19,12.89,6156
2459761.816783,0.92571,0.00422,1.1354,0.14,0.01,12.06,6410
2459761.817400,0.92270,0.00410,1.1370,1.91,2.21,10.66,7398
2459761.818017,0.92140,0.00424,1.1386,0.51,1.36,11.95,6094
2459761.818633,0.91473,0.00424,1.1402,-0.30,1.50,11.30,6236
2459761.819249,0.91417,0.00423,1.1418,-0.88,-2.49,11.88,5482
2459761.819866,0.92302,0.00427,1.1435,-1.47,-0.64,13.35,5148
2459761.820483,0.92322,0.00414,1.1451,1.49,1.57,11.81,5948
2459761.821100,0.92755,0.00417,1.1468,0.02,0.02,12.12,5602
2459761.821717,0.91951,0.00413,1.1485,0.29,1.48,12.18,6001
2459761.822334,0.92684,0.00419,1.1503,-0.47,-1.14,12.88,5658
2459761.822950,0.92470,0.00417,1.1520,-0.85,-0.35,12.23,6134
2459761.823567,0.92543,0.00417,1.1538,2.59,-0.46,13.20,5379
2459761.824184,0.92054,0.00411,1.1556,0.14,0.99,12.10,5308
2459761.824801,0.91870,0.00412,1.1574,-0.99,-0.32,12.70,4980
2459761.825418,0.92261,0.00402,1.1592,-0.65,-1.71,11.56,6708
2459761.826034,0.92315,0.00407,1.1610,-2.15,-0.05,12.49,5823
2459761.826651,0.92158,0.00408,1.1629,1.97,0.48,13.70,4681
2459761.827267,0.92191,0.00401,1.1647,0.90,-2.37,12.53,6550
2459761.827884,0.91644,0.00392,1.1666,-1.62,-0.54,7.43,7761
2459761.828501,0.92348,0.00390,1.1685,-0.86,0.82,8.31,6860
2459761.829116,0.91311,0.00390,1.1705,-1.29,1.58,9.43,6989
2459761.829732,0.91595,0.00385,1.1724,3.04,1.31,11.06,7497
2459761.830348,0.91631,0.00382,1.1744,-0.39,0.36,6.62,8418
2459761.830965,0.91479,0.00382,1.1764,-0.98,-0.34,6.34,8868
2459761.831581,0.91552,0.00400,1.1784,-2.50,-1.06,11.63,6244
2459761.832197,0.91913,0.00387,1.1804,-0.20,0.29,7.77,7741
