BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.806954,0.95787,0.00652,1.1124,-0.96,-0.76,8.04,3334
2459761.807593,0.95401,0.00665,1.1138,0.20,0.24,9.71,2807
2459761.808239,0.94079,0.00652,1.1152,1.60,0.84,9.61,2871
2459761.808878,0.95229,0.00646,1.1166,0.28,0.26,7.70,3289
2459761.809517,0.93593,0.00653,1.1180,-0.47,-1.14,7.67,3199
2459761.810157,0.93592,0.00620,1.1195,-0.26,-0.09,6.14,4547
2459761.810825,0.93573,0.00647,1.1210,-0.20,-0.81,10.93,2945
2459761.811464,0.92770,0.00610,1.1224,1.27,1.07,7.72,4300
2459761.812110,0.93178,0.00615,1.1240,0.45,0.13,7.21,4452
2459761.812749,0.93379,0.00653,1.1255,-1.04,-0.64,7.42,3404
2459761.813388,0.92415,0.00643,1.1270,-1.12,-0.25,6.61,4340
2459761.814028,0.92505,0.00678,1.1285,-0.38,0.54,10.52,2762
2459761.814674,0.93058,0.00690,1.1301,2.42,1.84,10.15,2952
2459761.815312,0.92568,0.00637,1.1317,-0.12,-0.97,7.26,3863
2459761.815951,0.93280,0.00631,1.1333,-1.51,-1.66,7.11,3894
2459761.816590,0.92987,0.00643,1.1349,-0.55,-0.56,7.54,3741
2459761.817235,0.92482,0.00628,1.1366,-0.29,1.33,8.05,3837
2459761.817873,0.92850,0.00651,1.1382,1.26,0.63,9.32,3248
2459761.818511,0.92498,0.00640,1.1399,0.26,0.26,7.72,3608
2459761.819156,0.92630,0.00670,1.1416,-1.58,-2.95,7.86,2942
2459761.819794,0.93575,0.00670,1.1433,-0.62,0.54,9.12,2899
2459761.820433,0.92222,0.00640,1.1450,0.50,0.89,8.48,3356
2459761.821079,0.92726,0.00650,1.1468,0.40,-1.06,8.77,3022
2459761.821717,0.93437,0.00643,1.1486,0.59,0.05,7.80,3230
2459761.822355,0.91515,0.00641,1.1504,-0.76,-0.89,8.21,3303
2459761.823001,0.92810,0.00645,1.1522,-0.35,-0.61,7.95,3205
2459761.823639,0.92924,0.00658,1.1540,2.85,1.70,9.28,2923
2459761.824277,0.92949,0.00644,1.1559,0.59,0.65,8.34,2963
2459761.824923,0.91943,0.00634,1.1578,-1.71,-1.53,7.99,3252
2459761.825561,0.92624,0.00613,1.1596,-0.41,-0.16,7.77,3579
2459761.826199,0.91600,0.00632,1.1616,-0.69,-1.07,9.05,2965
2459761.826844,0.91553,0.00641,1.1635,2.66,1.23,10.60,2477
2459761.827482,0.92115,0.00603,1.1654,-0.46,0.85,8.36,3804
2459761.828121,0.91219,0.00595,1.1674,-1.40,-0.73,8.19,4176
2459761.828765,0.91634,0.00591,1.1694,-0.40,-0.14,7.75,3955
2459761.829403,0.92131,0.00625,1.1714,1.08,0.31,11.72,2724
2459761.830048,0.91920,0.00567,1.1735,1.24,0.65,6.62,5089
2459761.830686,0.91682,0.00580,1.1755,-0.52,0.39,7.44,4412
2459761.831323,0.91343,0.00580,1.1776,-0.94,-0.98,6.55,4794
2459761.831968,0.91973,0.00613,1.1797,-0.95,-0.13,8.12,3789
2459761.832605,0.92101,0.00597,1.1818,2.78,1.50,7.99,3767
2459761.833250,0.92027,0.00614,1.1840,0.42,-0.20,7.59,3548
2459761.833886,0.91671,0.00633,1.1861,-0.89,-0.91,9.02,3108
2459761.834524,0.90686,0.00627,1.1883,-0.68,-1.22,8.61,2864
2459761.835169,0.91949,0.00670,1.1905,-1.32,0.81,9.94,2280
2459761.835805,0.91907,0.00649,1.1928,3.17,0.65,9.56,2548
2459761.836450,0.90887,0.00623,1.1950,0.01,-0.33,9.03,3015
2459761.837087,0.91851,0.00666,1.1973,-3.20,-1.63,9.57,2463
2459761.837730,0.91748,0.00617,1.1996,-1.69,-0.16,7.71,3354
2459761.838373,0.92259,0.00644,1.2020,3.79,1.70,9.60,3060
2459761.839017,0.91944,0.00668,1.2043,0.45,0.90,9.48,2515
2459761.839660,0.92471,0.00654,1.2067,-0.79,-2.20,9.13,2704
2459761.840304,0.90979,0.00614,1.2091,-1.90,-0.35,7.64,3685
2459761.840940,0.91525,0.00646,1.2115,1.01,0.06,8.90,3199
2459761.841584,0.91565,0.00699,1.2140,1.45,1.22,10.11,2257
2459761.842228,0.91867,0.00687,1.2164,0.04,-0.61,8.72,2728
2459761.842864,0.91452,0.00703,1.2189,-2.03,-0.29,9.75,2480
2459761.843507,0.91551,0.00683,1.2215,-2.19,-0.16,9.30,2849
2459761.844164,0.91862,0.00672,1.2241,2.90,0.82,9.16,2930
2459761.844799,0.91110,0.00669,1.2266,0.49,-0.67,8.50,2823
2459761.845442,0.90589,0.00619,1.2292,-0.75,-1.13,7.42,3847
2459761.846086,0.91301,0.00628,1.2318,-1.16,-0.73,8.88,3380
2459761.846722,0.91071,0.00666,1.2345,1.83,0.71,13.29,2370
2459761.847365,0.91935,0.00653,1.2372,1.01,0.34,8.81,2845
2459761.848009,0.91876,0.00678,1.2399,-1.51,0.13,10.23,2651
2459761.848666,0.93146,0.00696,1.2427,-0.45,-0.74,10.27,2363
2459761.849301,0.91864,0.00655,1.2454,-0.66,0.46,9.38,2859
2459761.849944,0.92403,0.00776,1.2482,0.41,0.13,14.26,1632
2459761.850586,0.92377,0.00712,1.2510,0.21,-0.17,10.73,2123
2459761.851222,0.94086,0.00707,1.2538,-0.69,-1.12,9.05,2516
2459761.851864,0.93160,0.00672,1.2567,-1.17,0.08,8.67,2796
2459761.852507,0.93084,0.00713,1.2596,2.88,1.30,10.76,2107
2459761.853143,0.92580,0.00712,1.2625,0.33,0.74,9.75,2126
2459761.853785,0.93464,0.00732,1.2655,-1.20,-1.35,10.23,2079
2459761.854428,0.94074,0.00718,1.2685,-1.02,-0.58,9.84,2162
2459761.855071,0.93295,0.00750,1.2715,0.35,0.57,12.46,1896
2459761.855714,0.94023,0.00765,1.2745,2.00,1.34,10.02,2065
2459761.856349,0.93475,0.00779,1.2775,-1.49,1.08,9.84,1953
2459761.856991,0.95649,0.00796,1.2807,-0.78,-0.03,11.43,1889
2459761.857633,0.95410,0.00745,1.2838,-0.50,-0.73,9.61,2238
2459761.858275,0.96131,0.00812,1.2869,1.24,0.67,13.17,1673
2459761.858917,0.96745,0.00713,1.2901,0.22,-0.54,9.79,2315
2459761.859559,0.97160,0.00741,1.2933,-2.11,-0.78,10.01,2118
2459761.860201,0.96175,0.00729,1.2966,-0.87,0.71,9.89,2194
2459761.860843,0.97935,0.00778,1.2999,2.88,1.79,11.02,1815
2459761.861507,0.98426,0.00720,1.3033,0.07,0.07,10.21,2247
2459761.862142,0.98093,0.00717,1.3066,-0.82,-0.59,9.37,2236
2459761.862784,0.97924,0.00727,1.3100,-1.11,-0.34,9.84,2174
2459761.863426,0.99318,0.00763,1.3134,1.11,0.66,11.55,1906
2459761.864080,0.99134,0.00744,1.3170,0.09,0.19,11.21,1960
