#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3673.1698	49.2041	70.4128	3602.7570	3722.3739
logg	4.0708	0.4450	0.4879	3.5828	4.5158
[Fe/H]	0.2496	0.1555	0.1420	0.1076	0.4050
dist	163.2881	1.1355	0.3018	162.9863	164.4236
rad	0.5141	0.0214	0.0178	0.4963	0.5355
Av	0.0069	0.0051	0.0036	0.0033	0.0120
grav_mass	0.0665	0.1523	0.0381	0.0285	0.2188
lum	0.0434	0.0039	0.0045	0.0390	0.0474
AD	0.0292	0.0012	0.0010	0.0282	0.0304
age	0.3989	2.0243	0.3599	0.0391	13.44428158197975
iso_mas	0.5440	0.0103	0.0167	0.4421	0.5646317806837792
eep	193.4187	113.2044	7.6836	174.4660	327.11263082560544
BP_noise	0.0176	0.0128	0.0095	0.0081	0.0304
G_noise	0.0037	0.0026	0.0016	0.0021	0.0063
RP_noise	0.0258	0.0094	0.0097	0.0161	0.0352
J_noise	0.1037	0.1578	0.0884	0.0152	0.2615
H_noise	0.1528	0.1028	0.0771	0.0758	0.2556
W1_noise	0.1965	0.0997	0.1778	0.0187	0.2961
W2_noise	0.1116	0.2686	0.0977	0.0139	0.3802
