# Filter Magnitude Uncertainty
GaiaDR2v2_BP 16.2031 0.0026
GaiaDR2v2_G 15.0191 0.0004
GaiaDR2v2_RP 13.9376 0.0013
2MASS_J 12.5040 0.0180
2MASS_H 11.8230 0.0240
WISE_RSR_W1 11.5350 0.0260
WISE_RSR_W2 11.4840 0.0260
