65752 2460041.8311878	-1.746300	-0.08695 -0.08037 -0.08561	1.60100
65754 2460041.8524654	-1.784082	-0.08595 -0.07796 -0.08487	1.42400
65772 2460042.0822242	-2.315923	-0.08287 -0.07507 -0.08155	1.22400
65774 2460042.1035070	-2.357167	-0.08081 -0.07120 -0.08121	1.32300
65776 2460042.1247778	-2.393957	-0.08331 -0.07106 -0.08133	1.46100
65922 2460042.9235882	-2.287135	-0.07306 -0.06786 -0.07258	1.11600
66834 2460073.7989245	-11.911655	-0.04487 -0.03945 -0.04519	1.23900
66892 2460074.8159897	-12.222248	-0.02872 -0.02499 -0.02916	1.16800
66894 2460074.8372637	-12.270654	-0.02831 -0.02509 -0.02905	1.11400
67034 2460075.8176575	-12.496673	-0.01526 -0.01240 -0.01571	1.15500
67036 2460075.8389318	-12.545456	-0.01446 -0.01239 -0.01506	1.10500
67038 2460075.8602073	-12.595924	-0.01448 -0.01179 -0.01463	1.07400
68786 2460156.7532964	-17.864877	-0.08897 -0.07938 -0.08766	1.17200
68788 2460156.7745594	-17.898241	-0.08698 -0.07596 -0.08674	1.25000
69334 2460159.7578276	-17.403053	-0.04129 -0.03494 -0.04127	1.21600
69336 2460159.7790953	-17.433812	-0.04044 -0.03547 -0.04067	1.31200
69520 2460160.7571634	-17.236403	-0.02517 -0.02162 -0.02546	1.22400
69570 2460161.7559249	-17.064123	-0.01047 -0.00829 -0.01086	1.23000
69572 2460161.7771818	-17.093977	-0.00988 -0.00881 -0.01022	1.33100
69620 2460162.7526413	-16.883923	0.00763 0.00682 0.00760	1.22700
69622 2460162.7739382	-16.913834	0.00940 0.00860 0.00892	1.32800
